airline_stance,airline,text
0,Virgin America,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
2,Virgin America,"@VirginAmerica View of downtown Los Angeles
0,Virgin America,"@VirginAmerica Hey
1,Virgin America,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
1,Virgin America,'@VirginAmerica I have an unused ticket but moved to a new city where you don''t fly. How can I fly with you before it expires? #travelhelp'
1,Virgin America,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
2,Virgin America,'@VirginAmerica I''m #elevategold for a good reason: you rock!!'
1,Virgin America,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
2,Virgin America,@VirginAmerica wow this just blew my mind
1,Virgin America,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
1,Virgin America,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
1,Virgin America,'"@VirginAmerica Is flight 769 on it''s way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."'
2,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
1,Virgin America,@VirginAmerica wish you flew out of Atlanta... Soon?
1,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
1,Virgin America,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
0,Virgin America,'@VirginAmerica hi! i''m so excited about your $99 LGA-&gt;DAL deal- but i''ve been trying 2 book since last week &amp; the page never loads. thx!'
2,Virgin America,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
2,Virgin America,'@VirginAmerica @ladygaga @carrieunderwood  I''m Lady Gaga!!! She is amazing! 😊'
1,Virgin America,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
1,Virgin America,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
1,Virgin America,'@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow''d me last night. Carrie? Meh.'
0,Virgin America,'@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven''t shown up...help!'
1,Virgin America,"@VirginAmerica @ladygaga @carrieunderwood all are great 
1,Virgin America,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry
2,Virgin America,'@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can''t beat the classics!'
1,Virgin America,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
0,Virgin America,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
0,Virgin America,"@VirginAmerica Hi
2,Virgin America,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
0,Virgin America,@VirginAmerica everything was fine until you lost my bag
1,Virgin America,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
1,Virgin America,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
1,Virgin America,"@VirginAmerica hi I just booked a flight but need to add baggage
0,Virgin America,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
2,Virgin America,"@VirginAmerica not worried
2,Virgin America,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
1,Virgin America,"@VirginAmerica Or watch some of the best student films in the country at 35
1,Virgin America,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
0,Virgin America,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
1,Virgin America,@VirginAmerica what happened to Doom?!
0,Virgin America,'@VirginAmerica why can''t you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness'
2,Virgin America,'@VirginAmerica I''ve applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G'
0,Virgin America,'@VirginAmerica you''re the best!! Whenever I (begrudgingly) use any other airline I''m delayed and Late Flight :('
0,Virgin America,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
0,Virgin America,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
0,Virgin America,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
1,Virgin America,'@VirginAmerica Can''t bring up my reservation online using Flight Booking Problems code'
1,Virgin America,'@VirginAmerica Random Q: what''s the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4'
1,Virgin America,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
0,Virgin America,@VirginAmerica Why is the site down?  When will it be back up?
1,Virgin America,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
1,Virgin America,"@VirginAmerica hi
0,Virgin America,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
0,Virgin America,"@VirginAmerica just landed in LAX
1,Virgin America,@VirginAmerica why is flight 345 redirected?
0,Virgin America,"@VirginAmerica Is it me
0,Virgin America,'@VirginAmerica I can''t check in or add a bag. Your website isn''t working. I''ve tried both desktop and mobile http://t.co/AvyqdMpi1Y'
0,Virgin America,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
0,Virgin America,'@virginamerica What is your phone number. I can''t find who to call about a flight reservation.'
0,Virgin America,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
1,Virgin America,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
0,Virgin America,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
1,Virgin America,@VirginAmerica check out new music http://t.co/maRcnOCWzn
0,Virgin America,'@virginamerica how''s a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky'
0,Virgin America,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
2,Virgin America,"@VirginAmerica - amazing customer  service
0,Virgin America,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
0,Virgin America,'@VirginAmerica your site is tripping. I''m trying to check in and I''m getting the plain text version. I am reluctant to enter any card info.'
1,Virgin America,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
2,Virgin America,"@VirginAmerica has getaway deals through May
1,Virgin America,"@VirginAmerica has getaway deals through May
2,Virgin America,"@VirginAmerica has getaway deals through May
1,Virgin America,"@VirginAmerica has getaway deals through May
2,Virgin America,@VirginAmerica Have a great week 🌞✈
2,Virgin America,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
0,Virgin America,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
2,Virgin America,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation
2,Virgin America,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
2,Virgin America,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
2,Virgin America,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight
0,Virgin America,'@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn''t have a cross-browser compatible website?'
0,Virgin America,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks
0,Virgin America,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
2,Virgin America,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
2,Virgin America,'@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I''m delighted.  Thank you!'
1,Virgin America,"@VirginAmerica Do you provide complimentary upgrades to first class
0,Virgin America,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
2,Virgin America,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
1,Virgin America,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
1,Virgin America,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
0,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
0,Virgin America,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
1,Virgin America,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
0,Virgin America,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
0,Virgin America,@VirginAmerica Another delayed flight? #likingyoulessandless
0,Virgin America,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
2,Virgin America,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
1,Virgin America,"@VirginAmerica
2,Virgin America,@VirginAmerica always!!! Xoxo
0,Virgin America,'@VirginAmerica why can''t we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated'
0,Virgin America,'@VirginAmerica You''d think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame'
2,Virgin America,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
1,Virgin America,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
0,Virgin America,'@VirginAmerica please provide status for flight 769.  I cant imagine it''s on time as the Web indicates  dude to weather here and/or Dallas'
2,Virgin America,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
0,Virgin America,"@VirginAmerica I paid the premium to fly you across the country
0,Virgin America,'@VirginAmerica question: is it not possible to book a seat for an infant under 2? It''s not giving me the option but we want a seat for him.'
2,Virgin America,'Always have it together!!! You''re welcome! RT @VirginAmerica: @jessicajaymes You''re so welcome.'
2,Virgin America,'@virginamerica #flight home to #dc #sunset #globe in'' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf'
0,Virgin America,'.@VirginAmerica I don''t understand why you need a DM to give me an answer on if you have a damaged luggage policy.'
0,Virgin America,'.@VirginAmerica does that mean you don''t have a policy for destroyed luggage?'
1,Virgin America,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
2,Virgin America,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
1,Virgin America,@VirginAmerica is your website ever coming back online?
1,Virgin America,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday
1,Virgin America,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
1,Virgin America,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
0,Virgin America,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
0,Virgin America,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
0,Virgin America,"@VirginAmerica I rang
0,Virgin America,"@VirginAmerica got a flight (we were told) for 4:50 today..
0,Virgin America,'"@VirginAmerica our flight into lga was Cancelled Flighted. We''re stuck in Dallas. I called to reschedule'
0,Virgin America,'@virginamerica why don''t any of the pairings include red wine?! Only white is offered :( #redwineisbetter'
0,Virgin America,@VirginAmerica is the website down?
0,Virgin America,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
0,Virgin America,'@VirginAmerica I''m disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers'
1,Virgin America,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
0,Virgin America,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
0,Virgin America,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
1,Virgin America,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
1,Virgin America,"@VirginAmerica Beats EPS Views
1,Virgin America,@VirginAmerica Lister to my show my on Monday 1230 130
1,Virgin America,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
0,Virgin America,"@VirginAmerica congrats
0,Virgin America,'@VirginAmerica  I applied over 2 weeks ago. Haven''t heard back and I''m flying this week #disappointed'
1,Virgin America,'@VirginAmerica I''d love to know what your policy is for damaged luggage.'
2,Virgin America,@VirginAmerica Thank you for the follow
0,Virgin America,'@VirginAmerica - too many apologies! You r the worse airlines! Don''t even respond to your cudtomers'
0,Virgin America,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
1,Virgin America,@VirginAmerica @TTINAC11 I DM you
1,Virgin America,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
0,Virgin America,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
0,Virgin America,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
2,Virgin America,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
2,Virgin America,@VirginAmerica Only way to fly! #Elevate #Gold
1,Virgin America,@VirginAmerica If only you guys had flights from CMH.
0,Virgin America,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
0,Virgin America,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
1,Virgin America,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
2,Virgin America,@VirginAmerica you will match my #AmericanAirlines status? Cool!
1,Virgin America,'“@VirginAmerica:You''ve met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉'
0,Virgin America,'@VirginAmerica trying to book a flight with you guys and your website won''t let me... about to lose my business'
0,Virgin America,@VirginAmerica you suck!
2,Virgin America,@VirginAmerica thanks!
0,Virgin America,'@VirginAmerica Just DM''d. Same issue persisting.'
0,Virgin America,'@VirginAmerica Because we never rec''d Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids'
0,Virgin America,@VirginAmerica trying to book a flight &amp; your site is down 😁
0,Virgin America,'@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn''t do anything'
0,Virgin America,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
2,Virgin America,'@VirginAmerica I love your guy''s song! We''re dancing to it for our high school dance revue'
0,Virgin America,'@VirginAmerica Your website is down and I''m trying to check in!'
2,Virgin America,"@VirginAmerica done! Thank you for the quick response
1,Virgin America,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
2,Virgin America,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
2,Virgin America,@VirginAmerica Keep up the great work :)
2,Virgin America,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
2,Virgin America,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
1,Virgin America,@VirginAmerica can you please get me to the new york area before monday afternoon
2,Virgin America,"@VirginAmerica Thanks so much for the awesome support
0,Virgin America,'@VirginAmerica seats in Row 8 don''t recline should mention that on your website #soreback'
0,Virgin America,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
0,Virgin America,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
2,Virgin America,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
0,Virgin America,'@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What''s the deal?'
0,Virgin America,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
1,Virgin America,"@VirginAmerica on iPad and iPhone
0,Virgin America,"@VirginAmerica your mobile site is broken
0,Virgin America,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
0,Virgin America,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed
0,Virgin America,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
0,Virgin America,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
0,Virgin America,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
2,Virgin America,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
2,Virgin America,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
0,Virgin America,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
1,Virgin America,"@VirginAmerica it’s just a bug report
0,Virgin America,@VirginAmerica hold times at call center are a bit much
2,Virgin America,@VirginAmerica Like http://t.co/VPqEm31XUQ
0,Virgin America,@VirginAmerica Site down? #help
2,Virgin America,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
2,Virgin America,"Awesome! RT @VirginAmerica: Watch nominated films at 35
2,Virgin America,@VirginAmerica thanks so much!
0,Virgin America,"@VirginAmerica Trying to reset my password
2,Virgin America,"@VirginAmerica
2,Virgin America,@VirginAmerica Very nicely done. 👏
2,Virgin America,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
0,Virgin America,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
0,Virgin America,"@VirginAmerica is todays flight from Palm Springs
2,Virgin America,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
2,Virgin America,@VirginAmerica sounds like fun !
1,Virgin America,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
1,Virgin America,@virginamerica spruce moose!
0,Virgin America,"@VirginAmerica the CSS on your site is a 404 right now
0,Virgin America,'"@VirginAmerica We''re on flight 910 Vegas to Boston today'
2,Virgin America,"@VirginAmerica classiq
0,Virgin America,"@VirginAmerica Hi
2,Virgin America,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
2,Virgin America,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
2,Virgin America,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
0,Virgin America,"@VirginAmerica - the passenger in 7D
0,Virgin America,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
0,Virgin America,'@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn''t any help.'
2,Virgin America,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick
1,Virgin America,'"@VirginAmerica If you''d love to see more girls be inspired to become pilots'
2,Virgin America,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
1,Virgin America,"@VirginAmerica beats expectations
1,Virgin America,@VirginAmerica any plans to start flying direct from DAL to LAS?
1,Virgin America,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
2,Virgin America,"@VirginAmerica
0,Virgin America,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
1,Virgin America,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
1,Virgin America,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
0,Virgin America,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
0,Virgin America,@VirginAmerica there is something wrong with you website in Safari iPhone
2,Virgin America,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
0,Virgin America,@VirginAmerica Already checked in so the page expired :X
0,Virgin America,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
1,Virgin America,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
1,Virgin America,@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
2,Virgin America,@VirginAmerica I see what you did there ;)
1,Virgin America,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
1,Virgin America,'@VirginAmerica you know I''m flying virgin for the fight #MayweatherPacquiao'
2,Virgin America,@VirginAmerica your inflight team makes the experience #amazing!
2,Virgin America,'@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can''t get any better you just do! http://t.co/vC6Keulg2J'
0,Virgin America,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
1,Virgin America,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
2,Virgin America,@VirginAmerica fav airline
2,Virgin America,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
1,Virgin America,'👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You''re welcome.”'
1,Virgin America,@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
0,Virgin America,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
2,Virgin America,@VirginAmerica Thank you!!
0,Virgin America,'@VirginAmerica Is there anything going on with the website? I''ve been getting a lot of errors past 30 minutes.'
1,Virgin America,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!
1,Virgin America,@VirginAmerica I need you to follow back in order to DM.
1,Virgin America,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄
1,Virgin America,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.
0,Virgin America,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
0,Virgin America,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
0,Virgin America,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
1,Virgin America,@VirginAmerica what is your policy on flying after surgery?
1,Virgin America,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
0,Virgin America,"@VirginAmerica Funny story
2,Virgin America,@VirginAmerica would love to do more for virgin just like I do for @GoPro
1,Virgin America,@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
1,Virgin America,"@VirginAmerica I applied for a position in @flyLAXairport 
1,Virgin America,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq
1,Virgin America,"@VirginAmerica gives positive outlook
0,Virgin America,'@VirginAmerica I''m trying to check into my 10:50AM CT flight tmm on the desktop website and it''s not working (some sort of caching bug) SOS'
1,Virgin America,@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA
1,Virgin America,@VirginAmerica @madbee95 check the website before you go to the airport!
0,Virgin America,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
1,Virgin America,@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
2,Virgin America,'@VirginAmerica loved it. Can''t wait for Monday''s return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry'
0,Virgin America,'"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I''m calling every day'
